Français;Kabyle;Fréquence_Pourcentage
reconduction tacite;asmaynu amɣrrd;0.001
reconnaissance vocale;tukza tagṛḍant;0.001
reconstitution;allas n usnay;0.001
recours;tiyti g;0.001
redoublement (scolaire);alas anmlan;0.001
refus;aguma / aɛkks / igiy / tagit / tagʷit;0.001
reg;ṛṛgg;0.001
rejet;itm / tagit;0.001
rejeter;gr s / kṛṛf;0.001
relance économique;tankra s tdamsa;0.001
relevé de compte;tanmmalt n umiḍan;0.001
reliefs accidentés;irkazn ṛẓanin;0.001
reliefs continentaux;irkazn  imnẓawn;0.001
reliefs côtiers;irkazn n taɣart;0.001
reliefs marins;irkazn  aylann;0.001
reliefs montagneux;irkazn n idurar;0.001
reliefs plissés;irkazn iḍfṣn;0.001
reliefs sous-marins;irkazn ddu waman;0.001
reliefs volcaniques;irkazn iburkann;0.001
renouvellement de détachement;asmaynu n unufsl;0.001
repas;macca / utci / tirmt;0.001
repli cutané;aḍffus n yilm / iniḍi n yilm;0.001
repos;asgunfu / aswunfu;0.001
rhume;adxcam / axamuc / azgu / ddmɛun / tamslaɣt;0.001
riche;anbɣur / ansbaɣur;0.001
ricin;angarf / awririt;0.001
ride;akrrac / takmummct / acblq;0.001
ridé;akrrac / takmummct / acblq;0.001
rien;aggʷd imiq / aggʷd imil / walu;0.001
rime;tamɣrut;0.001
rire;ḍṣṣa / taḍṣa;0.001
rival;imɛidi;0.001
rive;agddim / agmmaḍ / ayddin / iswl / taslimt;0.001
rixe;amɛuccb;0.001
robe;takbrt / tarswayt;0.001
roche;aqyyuḥ / aẓṛu / tingmit;0.001
roi;agllid;0.001
roman;ungal;0.001
ronce;aflas / axccab / asnnan / ticclt;0.001
rot;agrriɛ / alẓa;0.001
roue;ackrir / tasɣalt;0.001
roux;imzwɣ;0.001
royal;agldan;0.001
ruade;tasfaqqart / tiqqrt / tiɣri;0.001
ruban;tasfift;0.001
ruche;azɣnzwur;0.001
rude;aḥrcaw;0.001
ruer;ḥnḍẓ / sfuqqr / sfuṛḍ / sfuẓẓḍ;0.001
rueur;asfaṛaḍ;0.001
rugir;ngu;0.001
rural;afaran;0.001
ruse;aqddc / aɣraz / tamunnḍt / tamusnyt / aqttun / amcum;0.001
rusé;aqddc / aɣraz / tamunnḍt / tamusnyt / aqttun / amcum;0.001
ruée;aḥnḍẓ / ḥmmzwir / tasarayt;0.001
râle;azrklla;0.001
règlement intérieur;aslgn agʷnsan;0.001
récession économique;aglugl admsan;0.001
rédacteur en chef;anssixf n tirra;0.001
références bibliographiques;isugam ibiblugrafiyn;0.001
régionalisation avancée;tanmnaḍt tamiriwt;0.001
régression marine;timdffrt  taylant;0.001
réguler la circulation;smsasa asikl;0.001
réhabilitation;asaɣul n tizi;0.001
réinsertion;alas n uskcm;0.001
rêve;tarjit / tawargit;0.001
rôle;tilalt;0.001
s'absenter;;0.001
s'accroupir;;0.001
sa;ins / nns;0.001
sa majesté;bab n waddur;0.001
sac;ackaṛ / iznbi / tixinct;0.001
saignement;angay s idammn;0.001
saisir une occasion, saisir une opportunité;ut tamlda;0.001
saison des pluies;imir n unẓaṛ;0.001
saison sèche;imir izwan;0.001
sale;amrku / amwddk / ɛfn / imrki / ɣuffn / amaraɣ;0.001
sali;kṛfṣ;0.001
salle couverte;tadala iɣmsn;0.001
salle d'attente;;0.001
salle de conférence;tadala n tinawt;0.001
salle de réunion;tadala n tsmuni;0.001
salle de soins;tadala n usasfr;0.001
salle équipée;tadala ittumawan;0.001
sans;bla / war;0.001
sans avis;bla aɛlam;0.001
sans issue;;0.001
sans matière grasse;war anddad;0.001
sans préjudice;bla amalad;0.001
santé publique;tadusi tagdudant;0.001
saturation du système de santé;amṛṛaḍ n ungraw n tdusi;0.001
sauf;amr / slid;0.001
saut;anḍaw / iky / tabaṭct / tanḍwa / tissnḍwt;0.001
savetier;aḍṛṛaf / axrraz / bu tsila;0.001
scie;anbray;0.001
sciences humaines;timassanin tinfganin;0.001
sciences naturelles;timassanin tigamanin;0.001
sciences politiques;timassanin tisrtayin;0.001
sciences sociales;timassanin tinamunin;0.001
sciences économiques;timassanin tidmsanin;0.001
sclérotique (blanc de l'œil);;0.001
scoliose;tifrɣi n iẓḍi n uɛrur / tifrɣi n usnsul / tifrɣi n yiẓḍi n tadawt;0.001
se chausser;hrks / qqn iburksn;0.001
se connecter (informatique);zdi ɣr;0.001
se donner de la peine;ut takrrayt;0.001
se séparer de;ẓli (- g);0.001
se terminer par;smd s;0.001
seau;agra / aṣḍil / aṭṭaṣ;0.001
sec;aqurar / amazzaɣ / amqquẓbṛ / amɣẓbṛ / anqqaru  / ukrim;0.001
secrétaire d'état;;0.001
secrétaire général;anflus amatay;0.001
secteur privé;igr uslig;0.001
sel;tisnt;0.001
semestre;aṣḍiṣyur / azgn n usggas;0.001
semi-urbain;am uɣrman / zun d aɣrman;0.001
sept;sa;0.001
septième;;0.001
septième jour après la nuit de noces où la mariée remet sa ceinture et se coiffe comme toutes les autres femmes;ass n uḥzzam;0.001
ses;ins / nns;0.001
seul;afrdi;0.001
si;ɛad / mtta / wah / waha;0.001
silo;tasraft;0.001
six;ṣḍiṣ;0.001
soc;tamkrazt;0.001
soif;fad / irifi;0.001
soin;asbuna / asujji / ijijji;0.001
soir;asra / tadggʷat / tamddit;0.001
sol;akal / tisi;0.001
son;imsli / ins / nns;0.001
sort;ili / umml;0.001
sot;abuhali;0.001
sou;tarryalt;0.001
sous;adday / adu / ddaw / ddu / sadu;0.001
stop;agali;0.001
sud;iffus;0.001
suer;dded / ssidi;0.001
suie;akffus / amlluḥ / ikʷfsan / ikʷlyan / imzan / islwan;0.001
sur;f / xf / iggi / nnig / ɣf / snnj / tiwa / zn;0.001
surf;amatur;0.001
sèche-cheveux;amsizɣ n wazzar;0.001
sénat, chambre des conseillers;asqqim n imcciwaṛ;0.001
sérieusement;s nnit / s wul;0.001
ta;ink / inm / nnk / nnm;0.001
tableau clinique;;0.001
tache;abqqiḍ / anqqiḍ / ibnqḍ / iniḍi / tamskirt;0.001
talus;abadu / tasumta / tasunda;0.001
tamis;arkkut / buṣyyaṛ / cṭaṭṭu / tallunt;0.001
tan;tunwat;0.001
tant;kada;0.001
taon;tiggnt / ṭṭikuk;0.001
tas;agudi / aqrbus / aqzzuy / amalaɣ / acmin / tagudiyt / taffa / takttust / tirrit / tirrct;0.001
tas de paille;aqrbus n walim / ancr;0.001
tasse de bain;taẓwayt n tarda;0.001
taux;asɣl / tamnckt;0.001
taxe;argay;0.001
teigne;ajjiḍ / ajjiḍ amsruy / ujuḍ / tuqccrt;0.001
teint;inɣmi / ticci;0.001
tempe;adlil / aluɣluɣ / amṭṭiṭu / anḍiḍ / asafẓ / azafr / ifṣl / tustiɣt;0.001
temps d'antenne;;0.001
température maximale;tirɣi tanafllat;0.001
température minimale;tirɣi tanaddawt;0.001
température moyenne;anammas n trɣi;0.001
tempête sur la mer;tasirt taylant;0.001
tempête tropicale;tignut tamnanaḍt;0.001
tendu;uddiz / ussid;0.001
tensiomètre;tamsɣalt n uṭanṣyu;0.001
terme;irm;0.001
terrasse fluviatile;azur n wasif;0.001
terre fertile;akal iblsn / tirs;0.001
tes;ink;0.001
test;irim / turimt;0.001
texte;aḍṛiṣ;0.001
texte intégral;aḍṛiṣ ismdn;0.001
thermomètre;tamsɣalt n trɣi;0.001
thym;azuknni / azuy / aẓwi;0.001
thé;atay;0.001
tibia;anẓlum / aztrur / taɣanimt n uḍaṛ / taɣrit n uḍaṛ;0.001
tiers;takṛaḍt / wiyaḍ;0.001
tigre;aksil;0.001
tirer sur;;0.001
tison;akmmuḍ / amamml / aṣfḍ / azzliy / tamakat;0.001
tissu lymphatique;tuẓḍiḍt talnfawt;0.001
tissu musculaire;tuẓḍiḍt tanksumt;0.001
tissu nerveux;tuẓḍiḍt tanzlumt;0.001
titre;azwl;0.001
toise;tamsɣalt n tiddi;0.001
toit;iggi;0.001
tomber malade;aɣ kra/ca;0.001
ton;ink / inm / nnk / nnm;0.001
toujours;abda / abda n ibidan / aha / bdda / lbda;0.001
tour;inḍ / tawala / tikklt;0.001
tour d'eau;;0.001
tour d'eau (le-);;0.001
tout;akkʷ / kraygatt / qaḥ;0.001
tout le monde est parti;ddan akkʷ middn;0.001
toux;tusut;0.001
trait;aṣḍḍaṛ / azrig / izriri / tafrst / tasflst / tinzi;0.001
traitement antipyrétique;asmkl mar tawla;0.001
traiter avec attention;g bɛit;0.001
transaction;tamhlt tasɣnzit / tamsmhalt;0.001
transfusion du sang;asikk n idammn;0.001
transitif;bu usmmud;0.001
transport aérien;assay amaḍu;0.001
transport ferroviaire;assay n wuzzal;0.001
transport maritime;assay aylan;0.001
transport routier;assay abrdan;0.001
transport scolaire;assay anmlan;0.001
traumatologie;tasnijjit n iɣsan;0.001
traumatologue;aḍbib n iɣsan;0.001
travail (douleur de la parturition);tizirit;0.001
tri;afran;0.001
trier;frn / ɣws / smmsti / sti;0.001
tripe;iliwi;0.001
troc;asmmskl;0.001
trop;bahra / bzzaf / kigan;0.001
trou;abuhu / agndur / agʷbbay / agʷḍi / axbu / aqji / almɣuz / anuqib / inqbi / icnbi / tiggit / tifikt;0.001
tube;ajɛbub / izli n usggʷas;0.001
tuer;nɣ;0.001
tué;iniɣi;0.001
type;asrtu / uggid / tasrtut / tawsit;0.001
tyran;amdagaz;0.001
tâche complexe;tamskirt tuddist;0.001
télé diffusion;azuzzr atlfaz;0.001
télé fréquence;asnagar war ifili;0.001
téléfilm;lfilm atlfaz;0.001
télémédecine;tasnijjit zg tuggugt;0.001
téléphone portable;ttilifun n ufus;0.001
téléréalité;atilifizyun n tilawt;0.001
télétravail;tawuri zi tuggugt;0.001
témoin à décharge;inigi n umzaɣ;0.001
tête de l'os;;0.001
têtu;agnagaṛ / amknas / amɣnan;0.001
tôle;aqjjun / aqzdir;0.001
tôt;zik;0.001
ubac;amctllu / anamr;0.001
ulcère;tabukkrt / tiḥbbit;0.001
ulcère gastrique;taḥbbuyt g uxdil;0.001
ultime;amggaru;0.001
un;ijj / yan / yukk;0.001
un lit);lmmṭ;0.001
un objet;snyyc;0.001
un peu;imikk / imiq / imil;0.001
un peu de;kra;0.001
un toit;ḍṛẓ;0.001
un état;gis;0.001
une;ict;0.001
une autre fois;mullu nniḍn;0.001
une fois.;mullu;0.001
uni;iksil;0.001
unicast;azuzzr amyan;0.001
uniforme;iksil;0.001
union;tamuni / tamunt;0.001
unique;afrdi / amyiwn;0.001
unité de réanimation;tanafut n usduy;0.001
univers;iɣzwr;0.001
universel;aɣzuran;0.001
urbain;aɣrman;0.001
urbanisme;aẓkaw;0.001
urgence;aɣawl / tuẓwayt;0.001
urgence sanitaire;;0.001
urgent;amddrfu / amɣawl;0.001
urine;aman n tasa / ibccicn / ibẓḍan / iggʷadn;0.001
uriner;bccec / bẓḍ / g aman / g iggʷadn / skr aman / ssbẓḍ;0.001
urticaire;aḥrbal / asfsu / tawrdayt;0.001
urètre;abɛnuḍ;0.001
urétérite;afduddr n usaru n ibccicn  / afduddr n usaru n ibẓḍan  / afduddr n usaru n iggʷadn;0.001
usage;asmrs;0.001
usager;ansmras;0.001
user;fna / mcc / ssmdu / ssrku;0.001
ustensile;abcku / aqcuc / aruku;0.001
usé;amqqrsu / amrcu / ḥfu / usrif / rca;0.001
utile;ubɣir / unfut;0.001
utiliser;ssmrs;0.001
utiliser;ssmrs;0.001
utilité;tanfa;0.001
uvule;titrmct;0.001
vague de chaleur;tamzazt n trɣi;0.001
vague de froid;;0.001
vaisseau sanguin;abayuɣ / amig / asddu n idammn;0.001
valeur de stérilisation;atig n tsggrt;0.001
valeur mobilière;atig amawan;0.001
valve cardiaque;;0.001
variation climatique;amyanaw n ungigt;0.001
variation du climat;tanfalt n ungigt;0.001
varice (s);amig amiriw;0.001
variétés;izlan ittyanawn;0.001
vase;abaḍxax / llatux;0.001
vaste;abaraw / amiriw / ulfis;0.001
veau;abaɛuj / agnduz / aḥjjuḍ / aɛlluc / igyyz;0.001
veille du nouvel an amazighe (litt. la nuit de janvier);iḍ n innayr;0.001
veine cave;amig yugan;0.001
venir (vers ici);ack d;0.001
venir (vers là);ack nn;0.001
vent;aḍu / azwu / iḍaggʷn;0.001
vent chaud;aḍu irɣan / aẓuḍ;0.001
vent maritime;aḍu aylan;0.001
vent polaire;azwu amsnuḍ;0.001
vent tropical;azwu amnanaḍ;0.001
ver;akccaw / amiɣz / azrm / takcca / tawkka / tiwkkit;0.001
verdict;taɣtast n imgillan;0.001
vers;ɣr / s / siwala;0.001
versant;admr / amadl / angir / aɣlla / ddir n wasif;0.001
vert;adal / azgza;0.001
vertèbre cervicale;taḥngit / tigzit n tgrnina / tigzit n tḥngit / tigzit n tqnctlla;0.001
vertèbre coccygienne;tigzit tagʷjjmant;0.001
vertèbre dorsale;tigzit n uɛrur / tigzit n tadawt;0.001
vertèbre lombaire;tazlaft n tdawt / tigzit n tfanin;0.001
veto;afitu;0.001
vice;amalad;0.001
vice-président;amari n unssixf;0.001
vidéo projecteur;asgr n ufidyu;0.001
vidéoconférence;tinawt s ufidyu;0.001
vie privée;tudrt tusligt;0.001
vif;qiqn;0.001
vil;amazdar / amddallu / amrus / awrtiw / imddilli;0.001
vin;aman n waḍil / asaḍṛn;0.001
viol;tizbi;0.001
violation de droits d’auteur;tiṛẓi n izrfan n umgay;0.001
violation de la loi;tiṛẓi n ulugn;0.001
visière de protection, écran facial;acnbur n waray;0.001
vite;dɣya / s ufafi;0.001
vitesse du vent;tazzla n uzwu;0.001
vocabulaire, lexique sectoriel;amawal iẓlin;0.001
voici l'homme;;0.001
voie publique;abrid agdudan;0.001
voie respiratoire;asaka n wunfus / asaru n usunfs;0.001
voie urinaire;asaru n ibccicn / asaru n ibẓḍan / asaru n iggʷadn;0.001
vol;afay / akṛfḍ / tiɣli / tukkṛḍa / tutcut;0.001
volley-ball;tacamma n tratsa / tawjja n tratsa;0.001
vote;astay;0.001
vous devez lire;ixṣṣa ad taqqram;0.001
vrai;imidi;0.001
vue;araɛa / iẓṛi;0.001
vœu;iri / matrta;0.001
web;lwib;0.001
xénophobe;amkyaḍ  n imzzan;0.001
xénophobie;akyaḍ n imzzan;0.001
xérodermie;tizwi n yilm;0.001
xérophtalmie;azaɣ n tiṭṭawin  / tizwi n walln;0.001
xérostomie;azaɣ n yimi / taɣart n yimi;0.001
yeux;alln;0.001
you-you;asliwliw / asllalu  / taɣrit;0.001
zajal (genre de poésie);azajal;0.001
zapping (néo.);anḍaw;0.001
zonage;asdɣr;0.001
zone;adɣar / ansa;0.001
zone aride;adɣar yuzɣn;0.001
zone chaude;;0.001
zone climatique;adɣar angigt;0.001
zone de contrôle;tamnaḍt n tiḍaf;0.001
zone de couverture;adɣar n usaggʷ;0.001
zone franche;adɣar ilelli;0.001
zone froide;adɣar iṣmḍn;0.001
zone semi-aride;adɣar zun yuzɣn;0.001
zone sèche;adɣar iqqurn;0.001
zone tiède;;0.001
zoom;uzum;0.001
zèbre;amɣjud / azulil;0.001
zébré (animal);aẓṛaṛ;0.001
zéro;amya;0.001
Ô mon bonheur !;a aɛri a aɛri !;0.001
à;i / n / ɣr / s;0.001
à la mémoire;i yiman;0.001
à qui;mi mi;0.001
à qui ?;ma mi;0.001
à qui?, à qui;;0.001
à tout à l'heure;;0.001
âge;awtay / amccaybu / awssar;0.001
âme;buḥbl / iman;0.001
âne;aɣyul;0.001
ça;ayddx;0.001
écailles, squamés;tifrkit n yilm;0.001
échantillonnage;angraw n tussifin;0.001
échelle de température;taskala n trɣi;0.001
échelle des plans;taskala n tsulaf;0.001
écho;azizzi / taɣlaɣalt / tayya  / tiqlit;0.001
échographie;;0.001
échéance;azmz amggaru n tfri;0.001
éclairagiste;atiqni n wasidd;0.001
école mixte;tinml iccarn;0.001
école satellite;tinml tayyawt;0.001
écologie;tamassant n twnnaḍt;0.001
écosystème;angraw awnḍan;0.001
écoulement, ruissèlement;tazzla n waman;0.001
écouvillons oropharyngés;tiyṭṭumin zg tgrjumt;0.001
écriture en italique;tirra kʷnanin;0.001
église;tamẓẓalut n iṛumiyn;0.001
élan;aɣyaz;0.001
éligibilité;aziẓḍṛ i ustay;0.001
élu;imsti;0.001
émettre un avis;;0.001
émission de débat;asays n umsgdal;0.001
émission spéciale;asays iẓlin;0.001
épi;tazlft;0.001
état;addad / awank / tamackut;0.001
étui;tagddut / taxṛiḍt / taytrt / tiytrt;0.001
été;anbdu / awlan;0.001
île;tagzirt;0.001
ô (ma) mère !;;0.001
ôter;kks;0.001
