Français;Kabyle;Fréquence_Pourcentage;Niveau
pente abrupte;aḥduddr / tasawnt ibddn;0.001;8
pente longitudinale;agusr uɣzif;0.001;8
pente transversale;tagsart talgdist;0.001;8
permis de conduire;turagt n undah;0.001;8
permis de construire, permis de bâtir;turagt n tuṣka;0.001;8
personne;aggʷd yukk / agʷd yiwn / ula d ijj;0.001;8
personne hospitalisée;amgun g usgnaf;0.001;8
pet;akffif / akucci / akuẓẓi / uṛḍ / tuṛṛiḍt;0.001;8
peu;abll / awzwiz / drus / imikk / imiq / imil / cuct / cway / cwayt;0.001;8
peur;tawda / tikṣṣaḍ / tiwdi / tuggda;0.001;8
pic;axcac / aqcac / acnqur / ixf;0.001;8
pie;aɣusas / tibiqct;0.001;8
pieu;ajij / azrzu / tagust;0.001;8
pin;tayda;0.001;8
pion;agʷntr / asba;0.001;8
pipe;ajɛbub;0.001;8
pis;tiẓi;0.001;8
plan;aɣawas;0.001;8
plat;abaṣaḍ / aḍbṣil / aflwaḍ / almid / amḍli / amnnirs / giddi / tabagit / taẓuḍa;0.001;8
pli;aḍffuṣ / anuḍu / iniḍi;0.001;8
poil;anẓaḍ / anẓḍ / qzzr / inẓiḍ / izbl;0.001;8
poli;abaṣaḍ / ḥluṛḍ;0.001;8
port;aftas / aksay / asatti;0.001;8
pot;aqlluc / aɣrraf / tagddut / taqnuct / taɣrɣizt;0.001;8
pou;taxxuyt / tilkit / ticcit;0.001;8
pour;i / uḥma;0.001;8
puce;aggurdi / akurdu;0.001;8
puer;buḥ / xnnen / jju / ṛṣuḍ / zamma / zzummu / zzunzḥ;0.001;8
pur;aḥuṛṛi / amsari / amzdag / aṛṣli / azddag / izdig / ɣus;0.001;8
pus;aluɛi / aṛṣḍ / tinist;0.001;8
pédagogie de l’erreur;tabidagujit n tzglt;0.001;8
pédagogie de l’intégration;tabidagujit n usidf;0.001;8
pédagogie différenciée;tabidagujit tanbḍayt;0.001;8
pédiatre;aḍbib n imẓẓyann;0.001;8
pédiatrie;tasnijjit n imẓẓyann;0.001;8
péricarde (membrane enveloppant le cœur);asatl n wul;0.001;8
période de stérilisation;tizi n tsggrt;0.001;8
période géologique, ère géologique;azmz ajyuluji;0.001;8
période électorale;azmz n ustay;0.001;8
pêche maritime;tagmrt taylant;0.001;8
qu'est ce que c'est que ce travail?;;0.001;8
qu'est ce que c'est que ça?;;0.001;8
quai;asali;0.001;8
qualifier;sɣrt;0.001;8
qualifié;amɣrat;0.001;8
qualité;aɣudu / taɣara;0.001;8
quand;adday / axmi / iɣ / laqmi / llig / mikk / smi;0.001;8
quand ?;managʷ / milmi / mlmi;0.001;8
quant à;imma;0.001;8
quantité;tasmkta;0.001;8
quartier;tacuffiḍt / tuddurt;0.001;8
quatre;kkuẓ;0.001;8
que;ay / is / lli / nna / nni;0.001;8
quel;man / matta;0.001;8
quelle;matta;0.001;8
quelle ?;man;0.001;8
quels;matta;0.001;8
querelle;amcubbk / imillu / imradn / tiẓit;0.001;8
quereller;kyḍ;0.001;8
question;tamslayt;0.001;8
queue;abanna / abḥrur / abṛḍuḍ / aɛnnab / ajḥrar / ajlal  / anafr / anwwaṛ / acggʷaḍ / acṭṭab / acwad / acwwaḍ / azafal / tacɣḍabt / tacṭṭabt / taẓnḍiḍt / timɣilt;0.001;8
qui;ay / lli;0.001;8
qui ?;wi;0.001;8
qui a la mâchoire tordue;ufriɣ n uɣẓẓaẓ / ufriɣ n wagja;0.001;8
qui rate;amssuki;0.001;8
qui suit;uḍfiṛ;0.001;8
qui);tnna;0.001;8
quintal;aqnḍaṛ;0.001;8
quinzaine;azgnyur;0.001;8
quitter;zri;0.001;8
quiétude;takuni;0.001;8
quoi ?;mi / min;0.001;8
quorum;tagumt;0.001;8
quotidien;akuyass;0.001;8
racine (de la dent);aẓuṛ n tɣmst;0.001;8
racisme;asnuḥyu aẓuṛan / tassaẓuṛt;0.001;8
radiation solaire;aẓnẓṛ n tafukt;0.001;8
radiographie;asulf s uẓnẓṛ;0.001;8
radiologue;aḍbib n uzzray s uẓnẓṛ;0.001;8
radioprotection;aray zg iẓnẓaṛn;0.001;8
radioscopie, examen radiologique;azzray s uẓnẓṛ;0.001;8
radiothérapie;asasfr s uẓnẓṛ / asmkl s uẓnẓṛ;0.001;8
rage;amuzzr / acnglil;0.001;8
rame;aqddac / amqdaf / taglut;0.001;8
rang;adaru / adur;0.001;8
raquette de cactus;afadar / afadas / aḥkuk n uknari / angul / aɣṛuḍ;0.001;8
raser;grrj / sllḥ;0.001;8
rat;aɣrda;0.001;8
rater;guf / fllt / ssakʷi / ssiki / zgl;0.001;8
ravin;aɣzr / iɣzr / izzil / taslya;0.001;8
ravin en surface;aɣzr ur iɣbin;0.001;8
ravin large;aɣzr amiriw;0.001;8
ravin profond;aɣzr iɣban;0.001;8
ravin/ valée de largeur moyenne;;0.001;8
rayer;kṛṛj;0.001;8
rayon de miel;agal / imcḍ / iɣli / taknift n tammemt / taydlt;0.001;8
rayon, gâteau de miel;aẓṭṭa n tammemt;0.001;8
recherche scientifique;arzzu amassan / asiggl amassan;0.001;8
reconduction tacite;asmaynu amɣrrd;0.001;8
reconnaissance vocale;tukza tagṛḍant;0.001;8
reconstitution;allas n usnay;0.001;8
recours;tiyti g;0.001;8
redoublement (scolaire);alas anmlan;0.001;8
refus;aguma / aɛkks / igiy / tagit / tagʷit;0.001;8
reg;ṛṛgg;0.001;8
rejet;itm / tagit;0.001;8
rejeter;gr s / kṛṛf;0.001;8
relance économique;tankra s tdamsa;0.001;8
relevé de compte;tanmmalt n umiḍan;0.001;8
reliefs accidentés;irkazn ṛẓanin;0.001;8
reliefs continentaux;irkazn  imnẓawn;0.001;8
reliefs côtiers;irkazn n taɣart;0.001;8
reliefs marins;irkazn  aylann;0.001;8
reliefs montagneux;irkazn n idurar;0.001;8
reliefs plissés;irkazn iḍfṣn;0.001;8
reliefs sous-marins;irkazn ddu waman;0.001;8
reliefs volcaniques;irkazn iburkann;0.001;8
renouvellement de détachement;asmaynu n unufsl;0.001;8
repas;macca / utci / tirmt;0.001;8
repli cutané;aḍffus n yilm / iniḍi n yilm;0.001;8
repos;asgunfu / aswunfu;0.001;8
rhume;adxcam / axamuc / azgu / ddmɛun / tamslaɣt;0.001;8
riche;anbɣur / ansbaɣur;0.001;8
ricin;angarf / awririt;0.001;8
ride;akrrac / takmummct / acblq;0.001;8
ridé;akrrac / takmummct / acblq;0.001;8
rien;aggʷd imiq / aggʷd imil / walu;0.001;8
rime;tamɣrut;0.001;8
rire;ḍṣṣa / taḍṣa;0.001;8
rival;imɛidi;0.001;8
rive;agddim / agmmaḍ / ayddin / iswl / taslimt;0.001;8
rixe;amɛuccb;0.001;8
robe;takbrt / tarswayt;0.001;8
roche;aqyyuḥ / aẓṛu / tingmit;0.001;8
roi;agllid;0.001;8
roman;ungal;0.001;8
ronce;aflas / axccab / asnnan / ticclt;0.001;8
rot;agrriɛ / alẓa;0.001;8
roue;ackrir / tasɣalt;0.001;8
roux;imzwɣ;0.001;8
royal;agldan;0.001;8
ruade;tasfaqqart / tiqqrt / tiɣri;0.001;8
ruban;tasfift;0.001;8
ruche;azɣnzwur;0.001;8
rude;aḥrcaw;0.001;8
ruer;ḥnḍẓ / sfuqqr / sfuṛḍ / sfuẓẓḍ;0.001;8
rueur;asfaṛaḍ;0.001;8
rugir;ngu;0.001;8
rural;afaran;0.001;8
ruse;aqddc / aɣraz / tamunnḍt / tamusnyt / aqttun / amcum;0.001;8
rusé;aqddc / aɣraz / tamunnḍt / tamusnyt / aqttun / amcum;0.001;8
ruée;aḥnḍẓ / ḥmmzwir / tasarayt;0.001;8
râle;azrklla;0.001;8
règlement intérieur;aslgn agʷnsan;0.001;8
récession économique;aglugl admsan;0.001;8
rédacteur en chef;anssixf n tirra;0.001;8
références bibliographiques;isugam ibiblugrafiyn;0.001;8
régionalisation avancée;tanmnaḍt tamiriwt;0.001;8
régression marine;timdffrt  taylant;0.001;8
réguler la circulation;smsasa asikl;0.001;8
réhabilitation;asaɣul n tizi;0.001;8
réinsertion;alas n uskcm;0.001;8
rêve;tarjit / tawargit;0.001;8
rôle;tilalt;0.001;8
s'absenter;;0.001;8
s'accroupir;;0.001;9
sa;ins / nns;0.001;9
sa majesté;bab n waddur;0.001;9
sac;ackaṛ / iznbi / tixinct;0.001;9
saignement;angay s idammn;0.001;9
saisir une occasion, saisir une opportunité;ut tamlda;0.001;9
saison des pluies;imir n unẓaṛ;0.001;9
saison sèche;imir izwan;0.001;9
sale;amrku / amwddk / ɛfn / imrki / ɣuffn / amaraɣ;0.001;9
sali;kṛfṣ;0.001;9
salle couverte;tadala iɣmsn;0.001;9
salle d'attente;;0.001;9
salle de conférence;tadala n tinawt;0.001;9
salle de réunion;tadala n tsmuni;0.001;9
salle de soins;tadala n usasfr;0.001;9
salle équipée;tadala ittumawan;0.001;9
sans;bla / war;0.001;9
sans avis;bla aɛlam;0.001;9
sans issue;;0.001;9
sans matière grasse;war anddad;0.001;9
sans préjudice;bla amalad;0.001;9
santé publique;tadusi tagdudant;0.001;9
saturation du système de santé;amṛṛaḍ n ungraw n tdusi;0.001;9
sauf;amr / slid;0.001;9
saut;anḍaw / iky / tabaṭct / tanḍwa / tissnḍwt;0.001;9
savetier;aḍṛṛaf / axrraz / bu tsila;0.001;9
scie;anbray;0.001;9
sciences humaines;timassanin tinfganin;0.001;9
sciences naturelles;timassanin tigamanin;0.001;9
sciences politiques;timassanin tisrtayin;0.001;9
sciences sociales;timassanin tinamunin;0.001;9
sciences économiques;timassanin tidmsanin;0.001;9
sclérotique (blanc de l'œil);;0.001;9
scoliose;tifrɣi n iẓḍi n uɛrur / tifrɣi n usnsul / tifrɣi n yiẓḍi n tadawt;0.001;9
se chausser;hrks / qqn iburksn;0.001;9
se connecter (informatique);zdi ɣr;0.001;9
se donner de la peine;ut takrrayt;0.001;9
se séparer de;ẓli (- g);0.001;9
se terminer par;smd s;0.001;9
seau;agra / aṣḍil / aṭṭaṣ;0.001;9
sec;aqurar / amazzaɣ / amqquẓbṛ / amɣẓbṛ / anqqaru  / ukrim;0.001;9
secrétaire d'état;;0.001;9
secrétaire général;anflus amatay;0.001;9
secteur privé;igr uslig;0.001;9
sel;tisnt;0.001;9
semestre;aṣḍiṣyur / azgn n usggas;0.001;9
semi-urbain;am uɣrman / zun d aɣrman;0.001;9
sept;sa;0.001;9
septième;;0.001;9
septième jour après la nuit de noces où la mariée remet sa ceinture et se coiffe comme toutes les autres femmes;ass n uḥzzam;0.001;9
ses;ins / nns;0.001;9
seul;afrdi;0.001;9
si;ɛad / mtta / wah / waha;0.001;9
silo;tasraft;0.001;9
six;ṣḍiṣ;0.001;9
soc;tamkrazt;0.001;9
soif;fad / irifi;0.001;9
soin;asbuna / asujji / ijijji;0.001;9
soir;asra / tadggʷat / tamddit;0.001;9
sol;akal / tisi;0.001;9
son;imsli / ins / nns;0.001;9
sort;ili / umml;0.001;9
sot;abuhali;0.001;9
sou;tarryalt;0.001;9
sous;adday / adu / ddaw / ddu / sadu;0.001;9
stop;agali;0.001;9
sud;iffus;0.001;9
suer;dded / ssidi;0.001;9
suie;akffus / amlluḥ / ikʷfsan / ikʷlyan / imzan / islwan;0.001;9
sur;f / xf / iggi / nnig / ɣf / snnj / tiwa / zn;0.001;9
surf;amatur;0.001;9
sèche-cheveux;amsizɣ n wazzar;0.001;9
sénat, chambre des conseillers;asqqim n imcciwaṛ;0.001;9
sérieusement;s nnit / s wul;0.001;9
ta;ink / inm / nnk / nnm;0.001;9
tableau clinique;;0.001;9
tache;abqqiḍ / anqqiḍ / ibnqḍ / iniḍi / tamskirt;0.001;9
talus;abadu / tasumta / tasunda;0.001;9
tamis;arkkut / buṣyyaṛ / cṭaṭṭu / tallunt;0.001;9
tan;tunwat;0.001;9
tant;kada;0.001;9
taon;tiggnt / ṭṭikuk;0.001;9
tas;agudi / aqrbus / aqzzuy / amalaɣ / acmin / tagudiyt / taffa / takttust / tirrit / tirrct;0.001;9
tas de paille;aqrbus n walim / ancr;0.001;9
tasse de bain;taẓwayt n tarda;0.001;9
taux;asɣl / tamnckt;0.001;9
taxe;argay;0.001;9
teigne;ajjiḍ / ajjiḍ amsruy / ujuḍ / tuqccrt;0.001;9
teint;inɣmi / ticci;0.001;9
tempe;adlil / aluɣluɣ / amṭṭiṭu / anḍiḍ / asafẓ / azafr / ifṣl / tustiɣt;0.001;9
temps d'antenne;;0.001;9
température maximale;tirɣi tanafllat;0.001;9
température minimale;tirɣi tanaddawt;0.001;9
température moyenne;anammas n trɣi;0.001;9
tempête sur la mer;tasirt taylant;0.001;9
tempête tropicale;tignut tamnanaḍt;0.001;9
tendu;uddiz / ussid;0.001;9
tensiomètre;tamsɣalt n uṭanṣyu;0.001;9
terme;irm;0.001;9
terrasse fluviatile;azur n wasif;0.001;9
terre fertile;akal iblsn / tirs;0.001;9
tes;ink;0.001;9
test;irim / turimt;0.001;9
texte;aḍṛiṣ;0.001;9
texte intégral;aḍṛiṣ ismdn;0.001;9
thermomètre;tamsɣalt n trɣi;0.001;9
thym;azuknni / azuy / aẓwi;0.001;9
thé;atay;0.001;9
tibia;anẓlum / aztrur / taɣanimt n uḍaṛ / taɣrit n uḍaṛ;0.001;9
tiers;takṛaḍt / wiyaḍ;0.001;9
tigre;aksil;0.001;9
tirer sur;;0.001;9
tison;akmmuḍ / amamml / aṣfḍ / azzliy / tamakat;0.001;9
tissu lymphatique;tuẓḍiḍt talnfawt;0.001;9
tissu musculaire;tuẓḍiḍt tanksumt;0.001;9
tissu nerveux;tuẓḍiḍt tanzlumt;0.001;9
titre;azwl;0.001;9
toise;tamsɣalt n tiddi;0.001;9
toit;iggi;0.001;9
tomber malade;aɣ kra/ca;0.001;9
ton;ink / inm / nnk / nnm;0.001;9
toujours;abda / abda n ibidan / aha / bdda / lbda;0.001;9
tour;inḍ / tawala / tikklt;0.001;9
tour d'eau;;0.001;9
tour d'eau (le-);;0.001;9
tout;akkʷ / kraygatt / qaḥ;0.001;9
tout le monde est parti;ddan akkʷ middn;0.001;9
toux;tusut;0.001;9
trait;aṣḍḍaṛ / azrig / izriri / tafrst / tasflst / tinzi;0.001;9
traitement antipyrétique;asmkl mar tawla;0.001;9
traiter avec attention;g bɛit;0.001;9
transaction;tamhlt tasɣnzit / tamsmhalt;0.001;9
transfusion du sang;asikk n idammn;0.001;9
transitif;bu usmmud;0.001;9
transport aérien;assay amaḍu;0.001;9
transport ferroviaire;assay n wuzzal;0.001;9
transport maritime;assay aylan;0.001;9
transport routier;assay abrdan;0.001;9
transport scolaire;assay anmlan;0.001;9
traumatologie;tasnijjit n iɣsan;0.001;9
traumatologue;aḍbib n iɣsan;0.001;9
travail (douleur de la parturition);tizirit;0.001;9
tri;afran;0.001;9
trier;frn / ɣws / smmsti / sti;0.001;9
tripe;iliwi;0.001;9
troc;asmmskl;0.001;9
trop;bahra / bzzaf / kigan;0.001;9
trou;abuhu / agndur / agʷbbay / agʷḍi / axbu / aqji / almɣuz / anuqib / inqbi / icnbi / tiggit / tifikt;0.001;9
tube;ajɛbub / izli n usggʷas;0.001;9
tuer;nɣ;0.001;9
tué;iniɣi;0.001;9
type;asrtu / uggid / tasrtut / tawsit;0.001;9
tyran;amdagaz;0.001;9
tâche complexe;tamskirt tuddist;0.001;9
télé diffusion;azuzzr atlfaz;0.001;9
télé fréquence;asnagar war ifili;0.001;9
téléfilm;lfilm atlfaz;0.001;9
télémédecine;tasnijjit zg tuggugt;0.001;9
téléphone portable;ttilifun n ufus;0.001;9
téléréalité;atilifizyun n tilawt;0.001;9
télétravail;tawuri zi tuggugt;0.001;9
témoin à décharge;inigi n umzaɣ;0.001;9
tête de l'os;;0.001;9
têtu;agnagaṛ / amknas / amɣnan;0.001;9
tôle;aqjjun / aqzdir;0.001;9
tôt;zik;0.001;9
ubac;amctllu / anamr;0.001;10
ulcère;tabukkrt / tiḥbbit;0.001;10
ulcère gastrique;taḥbbuyt g uxdil;0.001;10
ultime;amggaru;0.001;10
un;ijj / yan / yukk;0.001;10
un lit);lmmṭ;0.001;10
un objet;snyyc;0.001;10
un peu;imikk / imiq / imil;0.001;10
un peu de;kra;0.001;10
un toit;ḍṛẓ;0.001;10
un état;gis;0.001;10
une;ict;0.001;10
une autre fois;mullu nniḍn;0.001;10
une fois.;mullu;0.001;10
uni;iksil;0.001;10
unicast;azuzzr amyan;0.001;10
uniforme;iksil;0.001;10
union;tamuni / tamunt;0.001;10
unique;afrdi / amyiwn;0.001;10
unité de réanimation;tanafut n usduy;0.001;10
univers;iɣzwr;0.001;10
universel;aɣzuran;0.001;10
urbain;aɣrman;0.001;10
urbanisme;aẓkaw;0.001;10
urgence;aɣawl / tuẓwayt;0.001;10
urgence sanitaire;;0.001;10
urgent;amddrfu / amɣawl;0.001;10
urine;aman n tasa / ibccicn / ibẓḍan / iggʷadn;0.001;10
uriner;bccec / bẓḍ / g aman / g iggʷadn / skr aman / ssbẓḍ;0.001;10
urticaire;aḥrbal / asfsu / tawrdayt;0.001;10
urètre;abɛnuḍ;0.001;10
urétérite;afduddr n usaru n ibccicn  / afduddr n usaru n ibẓḍan  / afduddr n usaru n iggʷadn;0.001;10
usage;asmrs;0.001;10
usager;ansmras;0.001;10
user;fna / mcc / ssmdu / ssrku;0.001;10
ustensile;abcku / aqcuc / aruku;0.001;10
usé;amqqrsu / amrcu / ḥfu / usrif / rca;0.001;10
utile;ubɣir / unfut;0.001;10
utiliser;ssmrs;0.001;10
utiliser;ssmrs;0.001;10
utilité;tanfa;0.001;10
uvule;titrmct;0.001;10
vague de chaleur;tamzazt n trɣi;0.001;10
vague de froid;;0.001;10
vaisseau sanguin;abayuɣ / amig / asddu n idammn;0.001;10
valeur de stérilisation;atig n tsggrt;0.001;10
valeur mobilière;atig amawan;0.001;10
valve cardiaque;;0.001;10
variation climatique;amyanaw n ungigt;0.001;10
variation du climat;tanfalt n ungigt;0.001;10
varice (s);amig amiriw;0.001;10
variétés;izlan ittyanawn;0.001;10
vase;abaḍxax / llatux;0.001;10
vaste;abaraw / amiriw / ulfis;0.001;10
veau;abaɛuj / agnduz / aḥjjuḍ / aɛlluc / igyyz;0.001;10
veille du nouvel an amazighe (litt. la nuit de janvier);iḍ n innayr;0.001;10
veine cave;amig yugan;0.001;10
venir (vers ici);ack d;0.001;10
venir (vers là);ack nn;0.001;10
vent;aḍu / azwu / iḍaggʷn;0.001;10
vent chaud;aḍu irɣan / aẓuḍ;0.001;10
vent maritime;aḍu aylan;0.001;10
vent polaire;azwu amsnuḍ;0.001;10
vent tropical;azwu amnanaḍ;0.001;10
ver;akccaw / amiɣz / azrm / takcca / tawkka / tiwkkit;0.001;10
verdict;taɣtast n imgillan;0.001;10
vers;ɣr / s / siwala;0.001;10
versant;admr / amadl / angir / aɣlla / ddir n wasif;0.001;10
vert;adal / azgza;0.001;10
vertèbre cervicale;taḥngit / tigzit n tgrnina / tigzit n tḥngit / tigzit n tqnctlla;0.001;10
vertèbre coccygienne;tigzit tagʷjjmant;0.001;10
vertèbre dorsale;tigzit n uɛrur / tigzit n tadawt;0.001;10
vertèbre lombaire;tazlaft n tdawt / tigzit n tfanin;0.001;10
veto;afitu;0.001;10
vice;amalad;0.001;10
vice-président;amari n unssixf;0.001;10
vidéo projecteur;asgr n ufidyu;0.001;10
vidéoconférence;tinawt s ufidyu;0.001;10
vie privée;tudrt tusligt;0.001;10
vif;qiqn;0.001;10
vil;amazdar / amddallu / amrus / awrtiw / imddilli;0.001;10
vin;aman n waḍil / asaḍṛn;0.001;10
viol;tizbi;0.001;10
violation de droits d’auteur;tiṛẓi n izrfan n umgay;0.001;10
violation de la loi;tiṛẓi n ulugn;0.001;10
visière de protection, écran facial;acnbur n waray;0.001;10
vite;dɣya / s ufafi;0.001;10
vitesse du vent;tazzla n uzwu;0.001;10
vocabulaire, lexique sectoriel;amawal iẓlin;0.001;10
voici l'homme;;0.001;10
voie publique;abrid agdudan;0.001;10
voie respiratoire;asaka n wunfus / asaru n usunfs;0.001;10
voie urinaire;asaru n ibccicn / asaru n ibẓḍan / asaru n iggʷadn;0.001;10
vol;afay / akṛfḍ / tiɣli / tukkṛḍa / tutcut;0.001;10
volley-ball;tacamma n tratsa / tawjja n tratsa;0.001;10
vote;astay;0.001;10
vous devez lire;ixṣṣa ad taqqram;0.001;10
vrai;imidi;0.001;10
vue;araɛa / iẓṛi;0.001;10
vœu;iri / matrta;0.001;10
web;lwib;0.001;10
xénophobe;amkyaḍ  n imzzan;0.001;10
xénophobie;akyaḍ n imzzan;0.001;10
xérodermie;tizwi n yilm;0.001;10
xérophtalmie;azaɣ n tiṭṭawin  / tizwi n walln;0.001;10
xérostomie;azaɣ n yimi / taɣart n yimi;0.001;10
yeux;alln;0.001;10
you-you;asliwliw / asllalu  / taɣrit;0.001;10
zajal (genre de poésie);azajal;0.001;10
zapping (néo.);anḍaw;0.001;10
zonage;asdɣr;0.001;10
zone;adɣar / ansa;0.001;10
zone aride;adɣar yuzɣn;0.001;10
zone chaude;;0.001;10
zone climatique;adɣar angigt;0.001;10
zone de contrôle;tamnaḍt n tiḍaf;0.001;10
zone de couverture;adɣar n usaggʷ;0.001;10
zone franche;adɣar ilelli;0.001;10
zone froide;adɣar iṣmḍn;0.001;10
zone semi-aride;adɣar zun yuzɣn;0.001;10
zone sèche;adɣar iqqurn;0.001;10
zone tiède;;0.001;10
zoom;uzum;0.001;10
zèbre;amɣjud / azulil;0.001;10
zébré (animal);aẓṛaṛ;0.001;10
zéro;amya;0.001;10
Ô mon bonheur !;a aɛri a aɛri !;0.001;10
à;i / n / ɣr / s;0.001;10
à la mémoire;i yiman;0.001;10
à qui;mi mi;0.001;10
à qui ?;ma mi;0.001;10
à qui?, à qui;;0.001;10
à tout à l'heure;;0.001;10
âge;awtay / amccaybu / awssar;0.001;10
âme;buḥbl / iman;0.001;10
âne;aɣyul;0.001;10
ça;ayddx;0.001;10
écailles, squamés;tifrkit n yilm;0.001;10
échantillonnage;angraw n tussifin;0.001;10
échelle de température;taskala n trɣi;0.001;10
échelle des plans;taskala n tsulaf;0.001;10
écho;azizzi / taɣlaɣalt / tayya  / tiqlit;0.001;10
échographie;;0.001;10
échéance;azmz amggaru n tfri;0.001;10
éclairagiste;atiqni n wasidd;0.001;10
école mixte;tinml iccarn;0.001;10
école satellite;tinml tayyawt;0.001;10
écologie;tamassant n twnnaḍt;0.001;10
écosystème;angraw awnḍan;0.001;10
écoulement, ruissèlement;tazzla n waman;0.001;10
écouvillons oropharyngés;tiyṭṭumin zg tgrjumt;0.001;10
écriture en italique;tirra kʷnanin;0.001;10
église;tamẓẓalut n iṛumiyn;0.001;10
élan;aɣyaz;0.001;10
éligibilité;aziẓḍṛ i ustay;0.001;10
élu;imsti;0.001;10
émettre un avis;;0.001;10
émission de débat;asays n umsgdal;0.001;10
émission spéciale;asays iẓlin;0.001;10
épi;tazlft;0.001;10
état;addad / awank / tamackut;0.001;10
étui;tagddut / taxṛiḍt / taytrt / tiytrt;0.001;10
été;anbdu / awlan;0.001;10
île;tagzirt;0.001;10
ô (ma) mère !;;0.001;10
ôter;kks;0.001;10
